Alt,SABER,SCIAMACHY
80,2.38E+05,1.02E+05
81,4.04E+05,2.60E+05
82,4.65E+05,4.22E+05
83,4.73E+05,2.71E+05
84,4.54E+05,3.30E+05
85,4.36E+05,4.14E+05
86,4.11E+05,4.31E+05
87,3.86E+05,4.54E+05
88,3.64E+05,4.75E+05
89,3.50E+05,5.37E+05
90,3.47E+05,7.15E+05
91,3.71E+05,7.20E+05
92,3.95E+05,8.42E+05
93,4.41E+05,8.46E+05
94,5.09E+05,9.05E+05
95,5.94E+05,8.22E+05
96,5.84E+05,9.35E+05
97,5.73E+05,9.28E+05
98,,9.10E+05
99,,9.26E+05
100,,9.62E+05
101,,9.13E+05
102,,1.03E+06
103,,1.28E+06
104,,1.33E+06
105,,1.47E+06
