DATE,BSRN,ND,KP1,KP2,KP3,KP4,KP5,KP6,KP7,KP8,KP_SUM,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP_AVG,CP,C9,ISN,F10.7_OBS,F10.7_ADJ,F10.7_DATA_TYPE,F10.7_OBS_CENTER81,F10.7_OBS_LAST81,F10.7_ADJ_CENTER81,F10.7_ADJ_LAST81
2001-01-01,2285,22,0,3,10,10,3,3,7,7,43,0,2,4,4,2,2,3,3,2,0.0,0,133,171.0,165.3,OBS,173.0,175.1,167.8,171.1
2001-01-02,2285,23,13,3,0,0,7,3,10,27,63,5,2,0,0,3,2,4,12,4,0.1,0,140,176.1,170.2,OBS,172.5,175.2,167.2,171.1
2001-01-03,2285,24,23,37,23,23,23,7,7,10,153,9,22,9,9,9,3,3,4,8,0.5,2,131,169.9,164.2,OBS,171.7,175.3,166.5,171.1
2001-01-04,2285,25,23,13,30,23,30,30,23,23,197,9,5,15,9,15,15,9,9,11,0.6,3,146,174.6,168.8,OBS,171.0,175.5,165.8,171.3
2001-01-05,2285,26,17,7,7,3,7,3,13,30,87,6,3,3,2,3,2,5,15,5,0.2,1,164,176.3,170.5,OBS,169.3,175.7,164.1,171.4
2001-01-06,2285,27,20,10,10,7,10,10,3,10,80,7,4,4,3,4,4,2,4,4,0.1,0,194,179.4,173.4,OBS,168.4,176.0,163.3,171.6
2001-01-07,2286,1,20,17,13,7,3,10,10,20,100,7,6,5,3,2,4,4,7,5,0.2,1,195,176.7,170.9,OBS,167.7,176.3,162.5,171.9
2001-01-08,2286,2,20,20,10,17,10,20,40,37,173,7,7,4,6,4,7,27,22,10,0.6,3,157,167.1,161.5,OBS,166.9,176.4,161.8,172.0
2001-01-09,2286,3,20,7,10,17,17,10,13,13,107,7,3,4,6,6,4,5,5,5,0.2,1,172,166.3,160.8,OBS,166.2,176.5,161.1,172.0
2001-01-10,2286,4,3,3,3,3,10,30,20,23,97,2,2,2,2,4,15,7,9,5,0.2,1,151,162.8,157.4,OBS,165.5,176.5,160.4,172.0
2001-01-11,2286,5,17,3,7,10,17,27,27,27,133,6,2,3,4,6,12,12,12,7,0.4,2,172,165.9,160.5,OBS,165.0,176.6,160.0,172.0
2001-01-12,2286,6,33,30,27,17,10,3,0,3,123,18,15,12,6,4,2,0,2,7,0.4,2,175,178.3,172.5,OBS,164.7,176.8,159.7,172.1
2001-01-13,2286,7,10,10,17,23,27,13,7,13,120,4,4,6,9,12,5,3,5,6,0.3,1,166,184.3,178.3,OBS,164.5,177.1,159.5,172.4
2001-01-14,2286,8,23,27,23,17,10,10,23,20,153,9,12,9,6,4,4,9,7,8,0.4,2,149,176.3,170.6,OBS,164.4,177.2,159.4,172.5
2001-01-15,2286,9,7,0,13,20,23,13,17,30,123,3,0,5,7,9,5,6,15,6,0.3,1,137,169.2,163.8,OBS,164.3,177.2,159.3,172.4
2001-01-16,2286,10,10,3,13,13,30,17,10,10,107,4,2,5,5,15,6,4,4,6,0.3,1,112,161.9,156.6,OBS,164.2,177.0,159.3,172.2
2001-01-17,2286,11,30,17,7,3,13,23,20,13,127,15,6,3,2,5,9,7,5,6,0.3,1,88,151.9,147.0,OBS,164.1,176.7,159.2,171.8
2001-01-18,2286,12,0,0,13,20,13,7,10,20,83,0,0,5,7,5,3,4,7,4,0.1,0,90,151.5,146.6,OBS,164.0,176.2,159.1,171.3
2001-01-19,2286,13,17,13,3,0,10,10,13,20,87,6,5,2,0,4,4,5,7,4,0.1,0,109,152.5,147.7,OBS,164.0,175.7,159.1,170.8
2001-01-20,2286,14,7,7,27,23,23,23,27,33,170,3,3,12,9,9,9,12,18,9,0.5,2,91,153.2,148.3,OBS,163.8,175.2,159.0,170.3
2001-01-21,2286,15,23,27,27,40,33,37,37,40,263,9,12,12,27,18,22,22,27,19,1.0,5,121,151.5,146.7,OBS,163.6,174.6,158.8,169.6
2001-01-22,2286,16,37,33,23,23,23,27,20,27,213,22,18,9,9,9,12,7,12,12,0.7,3,139,162.1,157.1,OBS,163.5,174.1,158.7,169.2
2001-01-23,2286,17,20,17,3,40,30,33,47,40,230,7,6,2,27,15,18,39,27,18,1.0,5,167,167.1,162.0,OBS,163.2,173.7,158.5,168.7
2001-01-24,2286,18,27,30,10,33,40,40,47,30,257,12,15,4,18,27,27,39,15,20,1.0,5,176,172.5,167.2,OBS,162.9,173.5,158.2,168.4
2001-01-25,2286,19,17,13,7,7,3,17,27,20,110,6,5,3,3,2,6,12,7,6,0.2,1,158,168.6,163.4,OBS,162.5,173.2,157.8,168.2
2001-01-26,2286,20,20,23,37,27,20,20,23,27,197,7,9,22,12,7,7,9,12,11,0.6,3,125,165.6,160.5,OBS,162.3,173.1,157.7,168.0
2001-01-27,2286,21,23,20,10,7,7,7,7,7,87,9,7,4,3,3,3,3,3,4,0.2,1,145,166.8,161.8,OBS,162.0,172.9,157.4,167.8
2001-01-28,2286,22,3,10,13,17,30,20,30,27,150,2,4,5,6,15,7,15,12,8,0.4,2,152,167.6,162.6,OBS,161.5,172.9,157.0,167.8
2001-01-29,2286,23,47,50,20,13,10,10,23,27,200,39,48,7,5,4,4,9,12,16,0.9,4,134,165.4,160.5,OBS,161.0,172.9,156.6,167.7
2001-01-30,2286,24,20,20,3,3,3,7,0,0,57,7,7,2,2,2,3,0,0,3,0.1,0,104,159.6,154.9,OBS,160.5,172.9,156.1,167.8
2001-01-31,2286,25,3,7,40,40,37,37,40,30,233,2,3,27,27,22,22,27,15,18,1.0,5,128,153.3,148.8,OBS,160.0,173.0,155.7,167.8
2001-02-01,2286,26,20,33,27,20,13,10,20,20,163,7,18,12,7,5,4,7,7,8,0.5,2,118,160.9,156.2,OBS,159.5,173.2,155.2,168.0
2001-02-02,2286,27,30,20,10,10,3,10,10,13,107,15,7,4,4,2,4,4,5,6,0.3,1,118,166.3,161.6,OBS,158.9,173.4,154.7,168.2
2001-02-03,2287,1,3,0,3,3,7,3,0,0,20,2,0,2,2,3,2,0,0,1,0.0,0,139,163.6,159.0,OBS,158.2,173.6,154.0,168.4
2001-02-04,2287,2,0,0,0,3,7,3,10,0,23,0,0,0,2,3,2,4,0,1,0.0,0,137,148.1,144.0,OBS,157.6,173.6,153.5,168.4
2001-02-05,2287,3,0,0,0,7,7,7,13,20,53,0,0,0,3,3,3,5,7,3,0.0,0,158,165.3,160.7,OBS,157.0,173.8,152.9,168.5
2001-02-06,2287,4,30,23,43,27,13,27,30,27,220,15,9,32,12,5,12,15,12,14,0.8,4,166,170.0,165.3,OBS,156.4,173.9,152.4,168.6
2001-02-07,2287,5,23,27,20,7,10,10,20,10,127,9,12,7,3,4,4,7,4,6,0.3,1,167,164.0,159.6,OBS,155.9,173.7,152.0,168.4
2001-02-08,2287,6,7,20,20,20,0,13,17,27,123,3,7,7,7,0,5,6,12,6,0.3,1,167,156.5,152.3,OBS,155.5,173.5,151.7,168.2
2001-02-09,2287,7,13,3,10,13,17,13,20,17,107,5,2,4,5,6,5,7,6,5,0.2,1,172,162.4,158.1,OBS,155.3,173.3,151.4,168.1
2001-02-10,2287,8,13,23,13,17,20,20,10,3,120,5,9,5,6,7,7,4,2,6,0.3,1,158,160.7,156.5,OBS,155.4,173.0,151.7,167.8
2001-02-11,2287,9,27,20,23,20,17,3,10,13,133,12,7,9,7,6,2,4,5,6,0.3,1,151,151.3,147.4,OBS,155.5,172.5,151.8,167.2
2001-02-12,2287,10,20,3,3,7,13,20,17,27,110,7,2,2,3,5,7,6,12,6,0.2,1,107,144.6,140.9,OBS,156.1,171.7,152.4,166.5
2001-02-13,2287,11,27,43,43,30,33,37,40,47,300,12,32,32,15,18,22,27,39,25,1.2,6,107,141.3,137.8,OBS,156.6,171.0,153.1,165.8
