#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-10T18:53:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60997c9c16b320	
#INFO	-out.max=9999	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=9999
#-order=I
#-out.src=II/7A/catalog
#-nav=cat:II/7A&tab:{II/7A/catalog}&key:source=II/7A/catalog&HTTPPRM:&&-ref=VIZ60997c9c16b320&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=JP11&-out=LID&-out=n_LID&-out=I&-sort=I&-out=ref&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=II/7A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/7A/catalog
#-out=JP11
#-out=LID
#-out=n_LID
#-out=I
#-out=ref
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_2007
#Name: II/7A
#Title: UBVRIJKLMNH Photoelectric Catalogue (Morel+ 1978)
#Table	II_7A_catalog:
#Name: II/7A/catalog
#Title: Catalog Data
#Column	JP11	(A6)	Johnson Photometry 11 colours number	[ucd=meta.id]
#Column	LID	(F11.8)	Coded identification number	[ucd=meta.id;meta.main]
#Column	n_LID	(A1)	[ DSV%1-3] Suffix to LID	[ucd=meta.note]
#Column	I	(F6.3)	? I magnitude: 0.88, 0.87 um	[ucd=phot.mag;em.opt.I]
#Column	ref	(I4)	[8001,8154] Reference number (see file: refs)	[ucd=meta.id]
#Column	_RA	(F9.5)	J2000 Position from Simbad -- not always accurate or existing (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	J2000 Position from Simbad -- not always accurate or existing (declination part)	[ucd=pos.eq.dec;meta.main]
JP11;LID;n_LID;I;ref;_RA;_DE
 ; ; ;mag; ;deg;deg
------;-----------;-;------;----;---------;---------
     1; 0.00000444; ;      ;8130;040.17863;+01.19868
     1; 0.00000444; ;      ;8130;040.17863;+01.19868
     3; 0.00004030; ; 6.350;8057;282.60583;+00.79167
     4; 0.00004064; ; 4.660;8057;284.38983;+00.45552
     5; 0.00101522; ;      ;8140;102.08778;+01.21897
     5; 0.00101522; ;      ;8140;102.08778;+01.21897
     7; 0.00102447; ; 6.880;8008;157.23146;+00.84100
     7; 0.00102447; ; 6.890;8075;157.23146;+00.84100
     7; 0.00102447; ;      ;8130;157.23146;+00.84100
     7; 0.00102447; ;      ;8134;157.23146;+00.84100
     7; 0.00102447; ;      ;8149;157.23146;+00.84100
    12; 0.00104774; ; 6.380;8075;357.30220;+02.40122
    12; 0.00104774; ;      ;8130;357.30220;+02.40122
    12; 0.00104774; ;      ;8134;357.30220;+02.40122
    15; 0.00200348; ;      ;8149;033.08745;+03.57562
    16; 0.00201451; ; 5.700;8057;103.36388;+01.87315
    17; 0.00203336; ; 7.140;8007;262.84691;+01.97588
    17; 0.00403561; ; 6.100;8004;269.45208;+04.69340
    17; 0.00403561; ; 6.030;8008;269.45208;+04.69340
    17; 0.00403561; ;      ;8130;269.45208;+04.69340
    17; 0.00403561; ;      ;8134;269.45208;+04.69340
    17; 0.00403561; ;      ;8149;269.45208;+04.69340
    23; 0.00403804;V;      ;8140;279.00959;+05.10779
    23; 0.00403804;V;      ;8140;279.00959;+05.10779
    25; 0.00501668; ; 6.490;8008;111.85208;+05.22579
    25; 0.00501668; ;      ;8130;111.85208;+05.22579
    25; 0.00501668; ;      ;8134;111.85208;+05.22579
    25; 0.00501668; ;      ;8149;111.85208;+05.22579
    25; 0.00503950; ; 5.350;8141;281.83760;+05.45517
    30; 0.00504481; ;      ;8104;305.10233;+06.03134
    31; 0.00801427;V;10.220;8027;099.79208;+08.74083
    31; 0.00801427;V;10.250;8048;099.79208;+08.74083
    31; 0.00801427;V;      ;8111;099.79208;+08.74083
    31; 0.00801427;V;      ;8140;099.79208;+08.74083
    31; 0.00801427;V;      ;8140;099.79208;+08.74083
    31; 0.00801427;V;      ;8140;099.79208;+08.74083
    31; 0.00801427;V;      ;8140;099.79208;+08.74083
    31; 0.00801427;V;      ;8140;099.79208;+08.74083
    39; 0.00802654; ; 7.640;8007;193.12258;+07.20794
    40; 0.00903920; ; 6.410;8057;283.67175;+10.11832
    41; 0.01001032;D;      ;8130;092.72834;+10.31807
    42; 0.01100809;V; 8.760;8027;081.90974;+11.42748
    42; 0.01100809;V; 8.760;8048;081.90974;+11.42748
    42; 0.01100809;V;      ;8140;081.90974;+11.42748
    45; 0.01102576; ; 6.520;8008;202.49911;+10.37716
    45; 0.01102576; ;      ;8075;202.49911;+10.37716
    45; 0.01102576; ;      ;8130;202.49911;+10.37716
    48; 0.01301110; ; 6.270;8057;091.71232;+13.59696
    49; 0.01301212; ; 5.810;8057;095.26792;+13.90778
    50; 0.01403887; ;      ;8111;290.39156;+14.88247
    51; 0.01700715; ; 8.580;8048;066.07059;+18.00291
    52; 0.01700734; ; 7.900;8048;067.38169;+17.89318
    52; 0.01701320; ; 7.370;8004;099.29497;+17.56480
    52; 0.01701320; ; 7.390;8075;099.29497;+17.56480
    52; 0.01701320; ;      ;8130;099.29497;+17.56480
    56; 0.01703325; ; 7.320;8007;266.42825;+17.21435
    57; 0.01903109; ; 8.780;8007;247.36248;+19.50958
    58; 0.01905116;D;      ;8075;352.96741;+19.93726
    58; 0.01905116;D;      ;8130;352.96741;+19.93726
    60; 0.02002243;V; 4.480;8007;134.16724;+19.84915
    60; 0.02002243;V; 4.420;8038;134.16724;+19.84915
    62; 0.02002465; ; 6.250;8008;154.90112;+19.86997
    62; 0.02002465; ;      ;8130;154.90112;+19.86997
    64; 0.02203782; ; 8.340;8048;295.79552;+23.29601
    65; 0.02301138; ; 6.260;8057;089.87500;+23.73333
    66; 0.02302998; ; 8.430;8007;251.85279;+23.21596
    67; 0.02402735; ;      ;8130;216.93747;+23.84084
    68; 0.02403902; ; 4.490;8057;297.54971;+24.92339
    69; 0.02502479; ; 9.580;8097;184.20597;+24.85582
    70; 0.02502500; ; 9.170;8061;185.71763;+25.06672
    71; 0.02502541; ; 9.070;8097;189.85000;+25.25000
    72; 0.02502544; ; 8.230;8097;190.02088;+24.98882
    73; 0.02502555; ; 7.950;8061;191.09687;+24.75742
    74; 0.02502556; ; 8.300;8061;191.39409;+24.92194
    75; 0.02602319; ; 8.660;8097;183.12568;+25.27552
    76; 0.02602327; ; 8.600;8097;184.95422;+25.23252
    77; 0.02602341; ; 8.790;8061;185.89658;+26.07881
    78; 0.02602348; ; 8.950;8061;186.39789;+26.11516
    79; 0.02602364; ; 8.890;8097;188.77412;+25.29894
    80; 0.02602378; ; 8.380;8061;190.07282;+25.64662
    81; 0.02602386; ; 9.310;8061;191.05315;+25.94054
    82; 0.02603578; ;      ;8104;293.13296;+26.39059
    83; 0.02702106; ; 8.910;8061;183.61202;+26.24282
    84; 0.02702110; ; 9.010;8097;184.07952;+26.92711
    85; 0.02702154; ; 8.980;8061;189.56225;+26.35781
    86; 0.02702164; ; 9.390;8097;190.72595;+26.57230
    87; 0.02702174; ; 8.450;8061;192.29717;+26.88489
    88; 0.02702178; ; 9.210;8097;192.64052;+27.17168
    89; 0.02702180; ; 8.760;8097;192.77817;+26.41063
    90; 0.02802088; ; 8.880;8061;183.12849;+27.20513
    91; 0.02802092; ; 9.380;8061;183.67537;+27.89046
    92; 0.02802101; ; 9.580;8061;184.56226;+27.51926
    93; 0.02802102; ; 9.901;8074;184.74075;+27.84445
    94; 0.02802108; ; 8.740;8097;185.46760;+28.14989
    95; 0.02802164; ; 9.630;8097;193.50000;+27.93333
    96; 0.02803590; ;      ;8104;300.56927;+28.66416
    97; 0.02804211; ;      ;8083;327.79593;+28.86399
    98; 0.02902270; ; 8.410;8061;183.83225;+29.10791
    99; 0.02902277; ; 8.970;8097;184.52097;+29.02708
   100; 0.02902283; ; 9.740;8074;185.74924;+28.31666
   101; 0.02902287; ; 8.880;8097;186.34911;+28.63896
   102; 0.02902294; ; 8.451;8074;187.54462;+28.40670
   103; 0.02902315; ; 9.460;8061;190.27532;+28.37212
   104; 0.02902316; ; 8.760;8061;190.56063;+28.60353
   105; 0.02902322; ; 9.030;8061;191.37295;+28.60697
   106; 0.02902337; ; 9.170;8097;193.58883;+28.78070
   107; 0.03000050; ;      ;8104;005.83354;+31.32951
   108; 0.03000663; ;      ;8104;066.45925;+30.37261
   109; 0.03001705; ;      ;8104;126.13479;+30.11289
   110; 0.03002249; ; 9.920;8061;184.14025;+29.70357
   111; 0.03002276; ; 9.560;8061;187.10650;+29.89844
   112; 0.03002277; ; 9.070;8061;187.11464;+29.87841
   113; 0.03002298; ; 8.310;8061;188.94291;+30.19258
   114; 0.03002315; ; 8.580;8061;190.55217;+29.74371
   115; 0.03002318; ; 8.490;8061;191.03550;+30.15161
   116; 0.03002326; ; 8.910;8061;191.77796;+29.45460
   117; 0.03002336; ; 9.920;8061;193.03067;+29.65266
   118; 0.03002726; ;      ;8104;239.33593;+29.77499
   119; 0.03003075; ;      ;8104;268.16920;+30.10778
   120; 0.03003526; ;      ;8111;290.41757;+31.16214
   121; 0.03004564; ;      ;8104;329.17846;+31.15225
   122; 0.03102347; ; 9.640;8061;184.39708;+31.13339
   123; 0.03102349; ; 9.340;8061;184.57955;+30.92095
   124; 0.03102354; ; 9.110;8061;184.99602;+30.26702
   125; 0.03102356; ; 9.940;8061;185.41456;+30.39603
   126; 0.03102392; ; 8.160;8061;189.88161;+31.00261
   127; 0.03102394; ; 9.060;8061;189.97903;+30.74665
   128; 0.03102416; ; 9.480;8061;193.04829;+31.06624
   129; 0.03102417; ; 7.550;8061;193.14038;+31.11630
   130; 0.03201582; ; 6.670;8004;113.65586;+31.86939
   130; 0.03201582; ;      ;8134;113.65586;+31.86939
   132; 0.03202230; ;10.410;8061;183.55000;+31.21667
   133; 0.03202231; ; 9.620;8061;183.59717;+31.22007
   134; 0.03202286; ; 9.590;8061;192.95508;+31.82791
   135; 0.03301505; ;      ;8130;109.88036;+32.83009
   136; 0.03302196; ; 9.250;8061;182.68414;+33.07856
   137; 0.03302202; ; 9.820;8061;183.05000;+33.10000
   138; 0.03302214; ; 9.560;8061;184.35729;+32.47455
   139; 0.03302218; ; 9.130;8061;184.51702;+32.48881
   140; 0.03302234; ; 9.140;8061;186.27667;+32.74919
   141; 0.03302241; ; 8.150;8061;187.22481;+33.17274
   142; 0.03302242; ; 7.690;8061;187.22736;+32.92349
   143; 0.03302254; ; 8.970;8061;189.13882;+32.35672
   144; 0.03302255; ; 8.250;8061;189.18885;+32.90975
   145; 0.03302267; ; 7.810;8061;191.61780;+33.06402
   146; 0.03302270; ; 8.800;8061;191.85772;+32.77935
   147; 0.03302271; ; 7.290;8061;191.89891;+32.84379
   148; 0.03302272; ; 8.700;8061;191.92195;+32.99725
   149; 0.03302273; ; 9.610;8061;191.97940;+33.05531
   150; 0.03400106; ;      ;8130;010.70105;+35.54878
   151; 0.03504077; ; 4.650;8057;305.30152;+35.61941
   152; 0.03504138; ; 5.940;8057;307.23509;+35.54064
   153; 0.03601638;1;      ;8130;112.99050;+36.21940
   153; 0.03601638;2;      ;8130;112.98887;+36.22984
   155; 0.03603168;V; 3.530;8007;278.08365;+36.99879
   155; 0.03603168;V; 3.530;8014;278.08365;+36.99879
   155; 0.03603168;V; 3.610;8038;278.08365;+36.99879
   158; 0.03604025; ; 3.640;8057;305.34117;+36.93216
   159; 0.03703903; ; 3.440;8057;305.41061;+37.53304
   160; 0.03801162; ; 5.810;8057;081.92917;+38.98000
   161; 0.03804955; ;      ;8104;348.41175;+39.41739
   162; 0.03901070; ; 6.800;8057;072.07429;+39.94889
   163; 0.03904208; ; 3.380;8057;307.21079;+39.98178
   164; 0.04004124; ;      ;8111;305.11770;+41.36433
   165; 0.04004220; ;      ;8111;308.09344;+41.30527
