wwavelength,transmissivity
6.579661580325814612e+03,7.989876935871738318e-04
6.579744375689223489e+03,9.307026679373786322e-04
6.579827171052631456e+03,8.614503256552254835e-04
6.579909966416040334e+03,8.892214560888118350e-04
6.579992761779448301e+03,8.823397561005142265e-04
6.580075557142857178e+03,8.754572901503731869e-04
6.580158352506266056e+03,8.824379696525665954e-04
6.580241147869674023e+03,8.131636687108128453e-04
6.580323943233082900e+03,6.953525637758351452e-04
6.580406738596490868e+03,6.676588167610436825e-04
6.580489533959899745e+03,5.220924981621250915e-04
6.580572329323308622e+03,5.359893340093692697e-04
6.580655124686716590e+03,3.973337477625416502e-04
6.580737920050125467e+03,5.152450461704600375e-04
6.580820715413534344e+03,5.291438220779518670e-04
6.580903510776942312e+03,9.016058615453211193e-06
6.580986306140351189e+03,1.269254311843419293e-04
6.581069101503759157e+03,2.337500128676847991e-04
6.581151896867168034e+03,1.269395687411664793e-04
6.581234692230576911e+03,8.532478994635580357e-05
6.581317487593984879e+03,1.574780986045959635e-04
6.581400282957393756e+03,2.684908319139079052e-04
6.581483078320801724e+03,6.292887592775348168e-04
6.581565873684210601e+03,3.517829928567836324e-04
6.581648669047619478e+03,6.848701328435333408e-04
6.581731464411027446e+03,6.849082897615330415e-04
6.581814259774436323e+03,1.136025673936078527e-03
6.581897055137844291e+03,1.281830381363982356e-03
6.581979850501253168e+03,1.573400867204428465e-03
6.582062645864662045e+03,1.740068719980908873e-03
6.582145441228070013e+03,1.393104326502852359e-03
6.582228236591478890e+03,1.962394331608295628e-03
6.582311031954886857e+03,2.142995735545181590e-03
6.582393827318295735e+03,2.524946525317123269e-03
6.582476622681704612e+03,2.358460670764654914e-03
6.582559418045112579e+03,2.962647240611102767e-03
6.582642213408521457e+03,2.789223675413474244e-03
6.582725008771930334e+03,3.476828863945672331e-03
6.582807804135338301e+03,3.546465946439387746e-03
6.582890599498747179e+03,4.268913588234844562e-03
6.582973394862155146e+03,4.345547701758403943e-03
6.583056190225564023e+03,5.207030178211288253e-03
6.583138985588972901e+03,5.714369245343156774e-03
6.583221780952380868e+03,5.749419234830533028e-03
6.583304576315789745e+03,6.618070799537020127e-03
6.583387371679197713e+03,6.611492895991912672e-03
6.583470167042606590e+03,7.341341008823375550e-03
6.583552962406015467e+03,7.675245393295934693e-03
6.583635757769423435e+03,7.988342439955567476e-03
6.583718553132832312e+03,9.142253198229220723e-03
6.583801348496240280e+03,1.017121120707163880e-02
6.583884143859649157e+03,1.076247433663562146e-02
6.583966939223058034e+03,1.186808480723081094e-02
6.584049734586466002e+03,1.274446418209898742e-02
6.584132529949874879e+03,1.349583194109030965e-02
6.584215325313282847e+03,1.476860193589504648e-02
6.584298120676691724e+03,1.640298157572913848e-02
6.584380916040100601e+03,1.819048078263837617e-02
6.584463711403508569e+03,1.871985385801709645e-02
6.584546506766917446e+03,2.159921873693102304e-02
6.584629302130326323e+03,2.242781382481948832e-02
6.584712097493734291e+03,2.511996971498977466e-02
6.584794892857143168e+03,2.777070443842908493e-02
6.584877688220551136e+03,2.922564434961918284e-02
6.584960483583960013e+03,3.173781623302338734e-02
6.585043278947368890e+03,3.591941896800496942e-02
6.585126074310776858e+03,3.839051412278727399e-02
6.585208869674185735e+03,4.194695414508899795e-02
6.585291665037593702e+03,4.482906346650986779e-02
6.585374460401002580e+03,4.965927178559008393e-02
6.585457255764411457e+03,5.540135198795773791e-02
6.585540051127819424e+03,5.956480656845968696e-02
6.585622846491228302e+03,6.547506190454156771e-02
6.585705641854636269e+03,7.083630339128653419e-02
6.585788437218045146e+03,7.662259958343581312e-02
6.585871232581454024e+03,8.276443493867353951e-02
6.585954027944861991e+03,9.022917941224106730e-02
6.586036823308270868e+03,9.731894745154583137e-02
6.586119618671679746e+03,1.070333694229869820e-01
6.586202414035087713e+03,1.153637905544183662e-01
6.586285209398496590e+03,1.256649990859080024e-01
6.586368004761904558e+03,1.362806045947554945e-01
6.586450800125313435e+03,1.470992773804381260e-01
6.586533595488722312e+03,1.576476497628561402e-01
6.586616390852130280e+03,1.685453103733860758e-01
6.586699186215539157e+03,1.818880509093121767e-01
6.586781981578947125e+03,1.928509517245113603e-01
6.586864776942356002e+03,2.042816226006581581e-01
6.586947572305764879e+03,2.204001662228372016e-01
6.587030367669172847e+03,2.359633822752205401e-01
6.587113163032581724e+03,2.456363590178623491e-01
6.587195958395989692e+03,2.596704478454832099e-01
6.587278753759398569e+03,2.778225951228799340e-01
6.587361549122807446e+03,2.877851288227140092e-01
6.587444344486215414e+03,2.986543664294623590e-01
6.587527139849624291e+03,3.144013438962946494e-01
6.587609935213032259e+03,3.261859439171488351e-01
6.587692730576441136e+03,3.370034156956670524e-01
6.587775525939850013e+03,3.503095423819672649e-01
6.587858321303257981e+03,3.610529258708822797e-01
6.587941116666666858e+03,3.710867335134179767e-01
6.588023912030075735e+03,3.839858413799260850e-01
6.588106707393483703e+03,3.898823553624772287e-01
6.588189502756892580e+03,3.953125672954598824e-01
6.588272298120300547e+03,4.030434775576179351e-01
6.588355093483709425e+03,4.115768446909223166e-01
6.588437888847118302e+03,4.134680407050851381e-01
6.588520684210526269e+03,4.198418925736014939e-01
6.588603479573935147e+03,4.217755921099920480e-01
6.588686274937343114e+03,4.232633051074255470e-01
6.588769070300751991e+03,4.242422058556715725e-01
6.588851865664160869e+03,4.254234245876204468e-01
6.588934661027568836e+03,4.221698883207949393e-01
6.589017456390977713e+03,4.241670208763275163e-01
6.589100251754385681e+03,4.168891245929514100e-01
6.589183047117794558e+03,4.137879977252573171e-01
6.589265842481203435e+03,4.071294494454604784e-01
6.589348637844611403e+03,3.996122247740628297e-01
6.589431433208020280e+03,3.935799260444863834e-01
6.589514228571428248e+03,3.877562264178027185e-01
6.589597023934837125e+03,3.763509002445646345e-01
6.589679819298246002e+03,3.646094191558204578e-01
6.589762614661653970e+03,3.524968416641656721e-01
6.589845410025062847e+03,3.440948786315760066e-01
6.589928205388471724e+03,3.293770823597077513e-01
6.590011000751879692e+03,3.205821049230325182e-01
6.590093796115288569e+03,3.087923384263965842e-01
6.590176591478696537e+03,2.960590919223113349e-01
6.590259386842105414e+03,2.804768456073341021e-01
6.590342182205514291e+03,2.695134382104650284e-01
6.590424977568922259e+03,2.540954807627748280e-01
6.590507772932331136e+03,2.396600482252979614e-01
6.590590568295739104e+03,2.280712087120331244e-01
6.590673363659147981e+03,2.147915952027497077e-01
6.590756159022556858e+03,2.036817992623331242e-01
6.590838954385964826e+03,1.887934504261504776e-01
6.590921749749373703e+03,1.760679995930713448e-01
6.591004545112781670e+03,1.650589070790047796e-01
6.591087340476190548e+03,1.531826560576852736e-01
6.591170135839599425e+03,1.430370183576114840e-01
6.591252931203007392e+03,1.322616791395089808e-01
6.591335726566416270e+03,1.227982048296111239e-01
6.591418521929824237e+03,1.120554461945850733e-01
6.591501317293233114e+03,1.056562871706561713e-01
6.591584112656641992e+03,9.475069309243119853e-02
6.591666908020049959e+03,8.724605762204025450e-02
6.591749703383458836e+03,8.258404171644764813e-02
6.591832498746867714e+03,7.588136192999016261e-02
6.591915294110275681e+03,6.916395577128078842e-02
6.591998089473684558e+03,6.246675860009150844e-02
6.592080884837092526e+03,5.756471558044631842e-02
6.592163680200501403e+03,5.463283767409031488e-02
6.592246475563910280e+03,4.856967347883611036e-02
6.592329270927318248e+03,4.515471139326159011e-02
6.592412066290727125e+03,4.108235037167233539e-02
6.592494861654135093e+03,3.862420390757624611e-02
6.592577657017543970e+03,3.537587617232239995e-02
6.592660452380952847e+03,3.242778412295100471e-02
6.592743247744360815e+03,2.951431660852701921e-02
6.592826043107769692e+03,2.811068385018154758e-02
6.592908838471177660e+03,2.579794878011416881e-02
6.592991633834586537e+03,2.298151023869766246e-02
6.593074429197995414e+03,2.248632108388033679e-02
6.593157224561403382e+03,2.029875576183665445e-02
6.593240019924812259e+03,1.902009364816370854e-02
6.593322815288220227e+03,1.718877413919240107e-02
6.593405610651629104e+03,1.607765549496299740e-02
6.593488406015037981e+03,1.415503485190643118e-02
6.593571201378445949e+03,1.307859614333495984e-02
6.593653996741854826e+03,1.261763319312164851e-02
6.593736792105263703e+03,1.167390759321422847e-02
6.593819587468671671e+03,1.007243292608308964e-02
6.593902382832080548e+03,9.695182572194998086e-03
6.593985178195488515e+03,9.464826594879998528e-03
6.594067973558897393e+03,8.478727502353379519e-03
6.594150768922306270e+03,7.898388549819898921e-03
6.594233564285714237e+03,7.227008197225124296e-03
6.594316359649123115e+03,6.401584045793930373e-03
6.594399155012531082e+03,6.128984541311846557e-03
6.594481950375939959e+03,5.674371352953067049e-03
6.594564745739348837e+03,5.212707325333543543e-03
6.594647541102756804e+03,4.981995848596426982e-03
6.594730336466165681e+03,4.408232559206253995e-03
6.594813131829573649e+03,3.883411219927261539e-03
6.594895927192982526e+03,3.764607156858088693e-03
6.594978722556391403e+03,3.400729930988729156e-03
6.595061517919799371e+03,2.994799177812475927e-03
6.595144313283208248e+03,2.749880189121002832e-03
6.595227108646616216e+03,2.687008792639908415e-03
6.595309904010025093e+03,2.224943166645600157e-03
6.595392699373433970e+03,2.162035181778376725e-03
6.595475494736841938e+03,2.218189331195842204e-03
6.595558290100250815e+03,1.847077429460433282e-03
6.595641085463659692e+03,1.531962656434681345e-03
6.595723880827067660e+03,1.405954266573290626e-03
6.595806676190476537e+03,9.997058227348262684e-04
6.595889471553884505e+03,7.055083325669742663e-04
6.595972266917293382e+03,8.807088983958887268e-04
6.596055062280702259e+03,3.202120993112641308e-04
6.596137857644110227e+03,5.794973840462006552e-04
6.596220653007519104e+03,4.814233395750219390e-04
6.596303448370927072e+03,3.833382586713236675e-04
6.596386243734335949e+03,3.343009840987268733e-04
6.596469039097744826e+03,1.170469725805684398e-04
6.596551834461152794e+03,1.520995353150129340e-04
6.596634629824561671e+03,1.801464538169181599e-04
6.596717425187969639e+03,6.519285263181627413e-05
6.596800220551378516e+03,4.647881084495171576e-04
6.596883015914787393e+03,1.773725647366846032e-04
6.596965811278195361e+03,3.176059083288812327e-04
6.597048606641604238e+03,4.438319153172181242e-04
6.597131402005013115e+03,4.368449445649244122e-04
6.597214197368421083e+03,1.633878051997009954e-04
6.597296992731829960e+03,6.052000640976823139e-04
6.597379788095237927e+03,5.000370134462032946e-04
6.597462583458646805e+03,6.754035894874698895e-04
6.597545378822055682e+03,5.211351260914177334e-04
6.597628174185463649e+03,7.456229293491943187e-04
6.597710969548872527e+03,8.999888012189871016e-04
6.597793764912280494e+03,9.912360101421906298e-04
6.597876560275689371e+03,1.138617594078334024e-03
6.597959355639098249e+03,1.152713545815686573e-03
6.598042151002506216e+03,1.159794783290761478e-03
6.598124946365915093e+03,9.633925868675321993e-04
6.598207741729323061e+03,1.082737443470031813e-03
6.598290537092731938e+03,1.110868400213697784e-03
6.598373332456140815e+03,1.019698503874177280e-03
6.598456127819548783e+03,1.244340895253591775e-03
6.598538923182957660e+03,1.174224269125449761e-03
6.598621718546365628e+03,1.441015109121291998e-03
6.598704513909774505e+03,1.595524568356289190e-03
6.598787309273183382e+03,1.441177543091163487e-03
6.598870104636591350e+03,1.371056203238922274e-03
6.598952900000000227e+03,1.539629152465161414e-03
6.599035695363409104e+03,1.483547553885277261e-03
6.599118490726817072e+03,1.441502520914877310e-03
6.599201286090225949e+03,1.469671148979052920e-03
6.599284081453633917e+03,1.434642828725340383e-03
6.599366876817042794e+03,1.497927406514217713e-03
6.599449672180451671e+03,1.519080953168846278e-03
