wavelength,transmissivity
6.579909966416040334e+03,4.081547275843344516e-04
6.579992761779449211e+03,4.289709937553876930e-04
6.580075557142857178e+03,3.735423069374789961e-04
6.580158352506266056e+03,4.775424330664987480e-04
6.580241147869674023e+03,2.973281308696227253e-04
6.580323943233082900e+03,3.458737727495154318e-04
6.580406738596491778e+03,4.290903859744653608e-04
6.580489533959899745e+03,1.379073013073660130e-04
6.580572329323308622e+03,2.419232582611498326e-04
6.580655124686716590e+03,2.003310990027891924e-04
6.580737920050125467e+03,2.697581735670366329e-05
6.580820715413534344e+03,3.667944528139300002e-04
6.580903510776942312e+03,1.741486398723294388e-04
6.580986306140351189e+03,1.325434420728292112e-04
6.581069101503760066e+03,6.166283722236549805e-05
6.581151896867168034e+03,2.698332909306752042e-05
6.581234692230576911e+03,1.117546639053489376e-04
6.581317487593984879e+03,2.921322789532837180e-04
6.581400282957393756e+03,4.725299886732888693e-04
6.581483078320802633e+03,2.921648252830984010e-04
6.581565873684210601e+03,6.807382530410069441e-04
6.581648669047619478e+03,8.473099485463411653e-04
6.581731464411027446e+03,8.820536242308863210e-04
6.581814259774436323e+03,1.090293180403771123e-03
6.581897055137845200e+03,1.048713529658427523e-03
6.581979850501253168e+03,1.152878773936160794e-03
6.582062645864662045e+03,1.347286554589127499e-03
6.582145441228070013e+03,1.708305459868545177e-03
6.582228236591478890e+03,1.965240393426334088e-03
6.582311031954887767e+03,1.819567904903621886e-03
6.582393827318295735e+03,2.180673503072206882e-03
6.582476622681704612e+03,2.319650558460932804e-03
6.582559418045112579e+03,2.493358918621638599e-03
6.582642213408521457e+03,3.090643142054497628e-03
6.582725008771930334e+03,3.000544278808796751e-03
6.582807804135338301e+03,3.327094771095702539e-03
6.582890599498747179e+03,3.681460521000769984e-03
6.582973394862156056e+03,3.765006975547786645e-03
6.583056190225564023e+03,4.348637674909790196e-03
6.583138985588972901e+03,4.696173806331544603e-03
6.583221780952380868e+03,5.168781378313093422e-03
6.583304576315789745e+03,5.794267906583210059e-03
6.583387371679198623e+03,6.141942822607349486e-03
6.583470167042606590e+03,6.566078168684641274e-03
6.583552962406015467e+03,7.212590744305641920e-03
6.583635757769423435e+03,7.866123649385142053e-03
6.583718553132832312e+03,8.262631831379759623e-03
6.583801348496241189e+03,8.666133229795125112e-03
6.583884143859649157e+03,9.653425922234074030e-03
6.583966939223058034e+03,1.022384390745758632e-02
6.584049734586466002e+03,1.184379607207106111e-02
6.584132529949874879e+03,1.225453790681142047e-02
6.584215325313283756e+03,1.427793708407841186e-02
6.584298120676691724e+03,1.439690603521989222e-02
6.584380916040100601e+03,1.642065065214886807e-02
6.584463711403508569e+03,1.748523475947464517e-02
6.584546506766917446e+03,1.932861364236306001e-02
6.584629302130326323e+03,1.966342950556786151e-02
6.584712097493734291e+03,2.218160007404047784e-02
6.584794892857143168e+03,2.470005181730934932e-02
6.584877688220552045e+03,2.696148617896878749e-02
6.584960483583960013e+03,2.858336785448467934e-02
6.585043278947368890e+03,3.153379610374677788e-02
6.585126074310776858e+03,3.424112252170140314e-02
6.585208869674185735e+03,3.695570688938495246e-02
6.585291665037594612e+03,4.070703222849741260e-02
6.585374460401002580e+03,4.436834409183604278e-02
6.585457255764411457e+03,4.887182991123745907e-02
6.585540051127819424e+03,5.282620605756296883e-02
6.585622846491228302e+03,5.776203323751830793e-02
6.585705641854637179e+03,6.335941248385953961e-02
6.585788437218045146e+03,6.854687804629441827e-02
6.585871232581454024e+03,7.270503882955720032e-02
6.585954027944861991e+03,8.087208705734275083e-02
6.586036823308270868e+03,8.858072386045860724e-02
6.586119618671679746e+03,9.339492661653449324e-02
6.586202414035087713e+03,1.021421996418065137e-01
6.586285209398496590e+03,1.103962461241961568e-01
6.586368004761905468e+03,1.214704250777665778e-01
6.586450800125313435e+03,1.286404959435147877e-01
6.586533595488722312e+03,1.403504555353196903e-01
6.586616390852130280e+03,1.513237332425816928e-01
6.586699186215539157e+03,1.627438421678346903e-01
6.586781981578948034e+03,1.735107099267346742e-01
6.586864776942356002e+03,1.835267400982875663e-01
6.586947572305764879e+03,1.942263364309752272e-01
6.587030367669172847e+03,2.109998468878419575e-01
6.587113163032581724e+03,2.228582855031959464e-01
6.587195958395990601e+03,2.354424004355367139e-01
6.587278753759398569e+03,2.466348640321590902e-01
6.587361549122807446e+03,2.584972851545597194e-01
6.587444344486215414e+03,2.690514114246462807e-01
6.587527139849624291e+03,2.830690503512237055e-01
6.587609935213033168e+03,2.937999030618292373e-01
6.587692730576441136e+03,3.085032843694331395e-01
6.587775525939850013e+03,3.170280211793767844e-01
6.587858321303257981e+03,3.282851763534357925e-01
6.587941116666666858e+03,3.395714648017761350e-01
6.588023912030075735e+03,3.455348518545758862e-01
6.588106707393483703e+03,3.530878819088411613e-01
6.588189502756892580e+03,3.624120309377345528e-01
6.588272298120301457e+03,3.652690900355218262e-01
6.588355093483709425e+03,3.720368417199640954e-01
6.588437888847118302e+03,3.776203231671128591e-01
6.588520684210526269e+03,3.782618901157541735e-01
6.588603479573935147e+03,3.793148492707846264e-01
6.588686274937344024e+03,3.861894813427524387e-01
6.588769070300751991e+03,3.817557922427712858e-01
6.588851865664160869e+03,3.798387524398580961e-01
6.588934661027568836e+03,3.788698386563775222e-01
6.589017456390977713e+03,3.738422489265448845e-01
6.589100251754386591e+03,3.723916935767777603e-01
6.589183047117794558e+03,3.681652184888827839e-01
6.589265842481203435e+03,3.577168777082132545e-01
6.589348637844611403e+03,3.517453460182878300e-01
6.589431433208020280e+03,3.431434059747638932e-01
6.589514228571429157e+03,3.376238179168408737e-01
6.589597023934837125e+03,3.218346190770232651e-01
6.589679819298246002e+03,3.153504471209001569e-01
6.589762614661653970e+03,3.012606195011270915e-01
6.589845410025062847e+03,2.896950284866899317e-01
6.589928205388471724e+03,2.768512076634421781e-01
6.590011000751879692e+03,2.650666297973895413e-01
6.590093796115288569e+03,2.545229155714126001e-01
6.590176591478697446e+03,2.402442793861105375e-01
6.590259386842105414e+03,2.300748772081008531e-01
6.590342182205514291e+03,2.150394591635720332e-01
6.590424977568922259e+03,2.034295984048764272e-01
6.590507772932331136e+03,1.898080469610424481e-01
6.590590568295740013e+03,1.773507805208386912e-01
6.590673363659147981e+03,1.667561249691501546e-01
6.590756159022556858e+03,1.541844627149550340e-01
6.590838954385964826e+03,1.434476790158473736e-01
6.590921749749373703e+03,1.329889904991569394e-01
6.591004545112782580e+03,1.235206963367965760e-01
6.591087340476190548e+03,1.132761987993945452e-01
6.591170135839599425e+03,1.076118266523020395e-01
6.591252931203007392e+03,9.648529895906164666e-02
6.591335726566416270e+03,8.818621873773305198e-02
6.591418521929825147e+03,8.110156718410302390e-02
6.591501317293233114e+03,7.577639550029863225e-02
6.591584112656641992e+03,6.922115944979179147e-02
6.591666908020049959e+03,6.253944004570874404e-02
6.591749703383458836e+03,5.806467086974419212e-02
6.591832498746867714e+03,5.238068608275235627e-02
6.591915294110275681e+03,4.970054910606998971e-02
6.591998089473684558e+03,4.491685354372453032e-02
6.592080884837093436e+03,4.059382654448775302e-02
6.592163680200501403e+03,3.710891664576073529e-02
6.592246475563910280e+03,3.439237749160901220e-02
6.592329270927318248e+03,3.205993594798461216e-02
6.592412066290727125e+03,2.825244215608834625e-02
6.592494861654136002e+03,2.702380168469508195e-02
6.592577657017543970e+03,2.437598979573322999e-02
6.592660452380952847e+03,2.354546402706631653e-02
6.592743247744360815e+03,2.119777685100335610e-02
6.592826043107769692e+03,1.978668576895498479e-02
6.592908838471178569e+03,1.680925458486063478e-02
6.592991633834586537e+03,1.641863084753350521e-02
6.593074429197995414e+03,1.570630054100645781e-02
6.593157224561403382e+03,1.424563280738452842e-02
6.593240019924812259e+03,1.322538857189354405e-02
6.593322815288221136e+03,1.151963289758929122e-02
6.593405610651629104e+03,1.102368886856315913e-02
6.593488406015037981e+03,1.040178577784186056e-02
6.593571201378445949e+03,9.206220875116100447e-03
6.593653996741854826e+03,8.954902936656291418e-03
6.593736792105263703e+03,8.199858470115856807e-03
6.593819587468671671e+03,7.514691206664658035e-03
6.593902382832080548e+03,6.584566118581535246e-03
6.593985178195489425e+03,6.249080564909649180e-03
6.594067973558897393e+03,5.780607061953577791e-03
6.594150768922306270e+03,5.333074242671430841e-03
6.594233564285714237e+03,5.039450830738630670e-03
6.594316359649123115e+03,4.241898005899375629e-03
6.594399155012531992e+03,4.046165642546299158e-03
6.594481950375939959e+03,4.144383892681683529e-03
6.594564745739348837e+03,3.465641901229878693e-03
6.594647541102756804e+03,3.017828059980898463e-03
6.594730336466165681e+03,3.256015635401652425e-03
6.594813131829574559e+03,2.479096353143038760e-03
6.594895927192982526e+03,2.563251490045220012e-03
6.594978722556391403e+03,2.087279390008338602e-03
6.595061517919799371e+03,2.066390426383539567e-03
6.595144313283208248e+03,1.681369320626035103e-03
6.595227108646617125e+03,1.597429178235835415e-03
6.595309904010025093e+03,1.471459895322339102e-03
6.595392699373433970e+03,1.555586764576596557e-03
6.595475494736841938e+03,1.198466613390971290e-03
6.595558290100250815e+03,8.343018301973160241e-04
6.595641085463659692e+03,6.312078416613130759e-04
6.595723880827067660e+03,5.051487900478326791e-04
6.595806676190476537e+03,5.962506136857819794e-04
6.595889471553885414e+03,5.752660296631010271e-04
6.595972266917293382e+03,3.020474193305233246e-04
6.596055062280702259e+03,2.740370941808215944e-04
6.596137857644110227e+03,3.020814053957886582e-04
6.596220653007519104e+03,5.529010406472950433e-05
6.596303448370927981e+03,1.478690540761422897e-05
6.596386243734335949e+03,6.230473267584229720e-05
6.596469039097744826e+03,5.529943794375353447e-05
6.596551834461152794e+03,1.674496727500303687e-04
6.596634629824561671e+03,3.006412997746155959e-04
6.596717425187970548e+03,5.109577449820517769e-04
6.596800220551378516e+03,5.881006699521867552e-04
6.596883015914787393e+03,3.918321202819484623e-04
